Car_Name,Make,Model,Make_Year,Price
"Volkswagen Polo [2018-2022] Trendline 1.0 (P)",Volkswagen,Polo,2020,659000
"Tata Altroz XZ Plus Turbo",Tata,Altroz,2022,953000
"Hyundai Creta [2018-2020] 1.6 SX OPT VTVT",Hyundai,Creta,2019,1173000
"Maruti Suzuki S-Presso VXI","Maruti Suzuki",S-Presso,2020,457000
"Maruti Suzuki S-Presso VXI","Maruti Suzuki",S-Presso,2020,461000
"Maruti Suzuki Swift [2011-2017] VDi","Maruti Suzuki",Swift,2013,471000
"Maruti Suzuki Ciaz Delta Petrol","Maruti Suzuki",Ciaz,2020,902000
"Honda WR-V VX i-VTEC",Honda,WR-V,2017,791000
"Toyota Etios [2010-2017] G",Toyota,Etios,2014,506000
"Maruti Suzuki Dzire [2017-2020] ZXI","Maruti Suzuki",Dzire,2017,594000
"Hyundai i10 [2010-2016] Sportz AT Petrol",Hyundai,i10,2013,362000
"Hyundai Verna [2017-2020] 1.6 CRDI SX",Hyundai,Verna,2018,914000
"Hyundai Elite i20 [2014-2018] Sportz 1.2",Hyundai,"Elite i20",2015,544000
"Volkswagen Vento [2010-2015] Highline Petrol",Volkswagen,Vento,2014,513000
"Renault Triber RXZ AMT",Renault,Triber,2020,737000
"Maruti Suzuki Dzire [2017-2020] ZXi Plus","Maruti Suzuki",Dzire,2018,664000
"Hyundai Verna [2017-2020] 1.6 CRDI SX (O)",Hyundai,Verna,2018,1027000
"Hyundai Elite i20 [2014-2018] Asta 1.2",Hyundai,"Elite i20",2015,575000
"Honda WR-V i-DTEC VX",Honda,WR-V,2018,842000
"Volkswagen Polo [2018-2020] Highline Plus 1.0 (P)",Volkswagen,Polo,2019,742000
"Nissan Magnite XV Premium Turbo CVT (O)",Nissan,Magnite,2022,1071000
"Hyundai Venue SX 1.0  Turbo",Hyundai,Venue,2021,1044000
"JEEP Compass [2017-2021] Limited 2.0 Diesel 4x4",Jeep,Compass,2017,1649000
"Tata Tiago Revotron XZ Plus",Tata,Tiago,2020,626000
"Hyundai Eon [2011-2018] Magna +",Hyundai,Eon,2016,320000
"Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2019,579000
"Volkswagen Ameo [2016-2020] Highline1.2L (P)",Volkswagen,Ameo,2017,608000
"Maruti Suzuki Swift [2017-2020] ZDi Plus","Maruti Suzuki",Swift,2018,773000
"Renault Lodgy [2015-2019] 110 PS RxL",Renault,Lodgy,2015,615000
"Honda Jazz VX MT",Honda,Jazz,2015,519000
"Tata Punch Creative IRA Dual Tone",Tata,Punch,2021,869000
"Mahindra Scorpio [2017-2020] S9",Mahindra,Scorpio,2019,1399000
"Chevrolet Beat [2014-2017] LS Diesel",Chevrolet,Beat,2015,356000
"Ford EcoSport [2013-2015] Titanium 1.5L TDCi (Opt)",Ford,EcoSport,2014,562000
"Hyundai Grand i10 [2017-2020] Magna 1.2 Kappa VTVT",Hyundai,"Grand i10",2018,522000
"Hyundai Elite i20 [2018-2020] Magna Plus 1.2",Hyundai,"Elite i20",2019,699000
"Hyundai Grand i10 [2013-2017] Asta 1.2 Kappa VTVT (O)",Hyundai,"Grand i10",2016,510000
"Maruti Suzuki S-Presso VXI+","Maruti Suzuki",S-Presso,2021,512000
"Toyota Etios Liva [2017-2020] VX Dual Tone",Toyota,"Etios Liva",2018,658000
"Honda Brio [2011-2016] V MT",Honda,Brio,2012,369000
"Maruti Suzuki Ciaz Alpha Petrol","Maruti Suzuki",Ciaz,2020,966000
"Ford EcoSport [2017-2021] Titanium 1.5L Ti-VCT",Ford,EcoSport,2021,932000
"Hyundai Eon [2011-2018] Magna +",Hyundai,Eon,2018,388000
"Toyota Etios [2010-2017] V",Toyota,Etios,2013,489000
"Toyota Corolla Altis [2014-2017] G Petrol",Toyota,"Corolla Altis",2016,926000
"MG Motors Hector 1.5 Sharp DCT AT","MG Motors",Hector,2020,1709000
"MG Motors Hector 1.5 Sharp DCT AT","MG Motors",Hector,2020,1770000
"Maruti Suzuki Ciaz Alpha AT Petrol","Maruti Suzuki",Ciaz,2020,1163000
"Honda City ZX",Honda,City,2020,1349000
"Kia Seltos GTX Plus DCT",Kia,Seltos,2020,1705000
"Ford Figo [2019-2021] Titanium Diesel",Ford,Figo,2019,739000
"Hyundai Verna [2011-2015] Fluidic 1.6 CRDi SX",Hyundai,Verna,2014,600000
"Maruti Suzuki Ciaz Alpha Petrol","Maruti Suzuki",Ciaz,2019,950000
